Tên sản phẩm,Loại sản phẩm,Mã SKU,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Túi xách thổ cẩm quai gỗ 2 khóa KT 32X32,"Túi xách, Làn, Ví",TC/TXQG2K/32X32,4,0,100.000,74.000
Bình Phu Thê cỡ nhỏ,Hàng Sơn Mài,SM/VC/S,4,0,320.000,237.000
Bình Phu Thê dẹt cỡ nhỏ,Hàng Sơn Mài,S/VC/DET/S,4,0,320.000,237.000
Đĩa F14 vẽ sen xanh lam,Hàng Gốm Sứ,T/DIA/SEN/F14,4,0,50.000,37.000
Đĩa F18 vẽ sen xanh lam,Hàng Gốm Sứ,T/DIA/SEN/F18,4,0,100.000,74.000
Cà phê Vinacafe Special 3 trong 1 hộp 306g,"Đồ Ăn, Thức Uống",8934683010914,4,0,60.000,44.000
Túi xách hoa cúc dừa KT: 22x32,"Túi xách, Làn, Ví",TXHCD/22X32,4,0,100.000,74.000
Tranh sơn mài 15x20,Hàng Sơn Mài,SM/TR/15X20,4,0,250.000,185.000
Khay tròn gắn trai có quai Kt phi 30cm,"Khay tre, khảm trai, gỗ",KTGTCQ/30,4,0,270.000,200.000
4 cánh HB nhỏ sen,Hàng Gốm Sứ,HB/4C/S/SEN,4,0,40.000,30.000
Nón Bắc Bộ trẻ em vẽ cờ đỏ sao vàng phi 34,"Nón, Nón treo",NBBTEV/CDSV/34,4,0,60.000,44.000
Tranh thêu khung bo 24x30,Thủ công mỹ nghệ,SP220425,4,0,120.000,89.000
Thìa cà phê trắng thẳng,Hàng Gốm Sứ,THCF/TR/TH,4,0,10.000,7.000
Đĩa F15 HB,Hàng Gốm Sứ,HB/D/F15,4,0,80.000,59.000
Salat HB CL F18-24,Hàng Gốm Sứ,HB/SALAT/F18-24,4,0,250.000,185.000
Bát tô F16 men kem,Hàng Gốm Sứ,T/BT16/MK,4,0,110.000,81.000
Giỏ mây phi 30,"Túi xách, Làn, Ví",M/GM/F30,4,0,100.000,74.000
Khay chữ nhật gắn trai có quai Kt 33x23,"Khay tre, khảm trai, gỗ",KCNGTCQ/33X23,4,0,200.000,148.000
Cà phê Trung Tín hộp trống gỗ 150gr,"Đồ Ăn, Thức Uống",580011/HT,4,0,300.000,222.000
Khay vuông gắn trai KT: 22cm,"Khay tre, khảm trai, gỗ",KVGT/22,4,0,190.000,141.000
phin cà phê màu xanh da trời f7,Phin CF,PCP/XDT/7,4,0,120.000,89.000
phin cà phê màu đen phi 7,Phin CF,PCP/DEN/7,4,0,120.000,89.000
Nước hoa Miss SaiGon Elegance Ruby N3 (Màu hồng) 50ml,Nước Hoa,8934662176037,4,0,720.000,533.000
Nước hoa Miss SaiGon Elegance Jade N6 (Màu xanh lá cây) 50ml,Nước Hoa,8934662176068,4,0,720.000,533.000
Nước hoa Miss VietNam N32 Sứ màu Huế 35ml,Nước Hoa,8934662133320,4,0,1.300.000,963.000
Tích lộc mini vẽ sen,Hàng Gốm Sứ,ATL18160001,4,0,1.500.000,1.111.000
Bộ AC trâu sen,Hàng Gốm Sứ,AC29/SEN,4,0,500.000,370.000
Thìa cơm sen,Hàng Gốm Sứ,T/TH/SEN,4,0,35.000,26.000
Cốc lọc cà phê cao TM,Hàng Gốm Sứ,CFTM01/H,4,0,120.000,89.000
Phin cà phê màu nâu phi 7,Phin CF,PCP/NAU/7,4,35.000,120.000,89.000
Nấm đông trùng(lọ),"Đồ Ăn, Thức Uống",NAM/DTRUNG,4,0,100.000,74.000
Trà xanh Thái Nguyên hộp đỏ 200g,"Đồ Ăn, Thức Uống",TRA/200G/H/D,4,0,350.000,259.000
Trà xanh Thái Nguyên hộp vàng 200g,"Đồ Ăn, Thức Uống",TRA/200G/H/V,4,0,350.000,259.000
Trà Sencha gói hút chân không gói 200g,"Đồ Ăn, Thức Uống",8936095570512,4,0,120.000,89.000
Sổ tre,Thủ công mỹ nghệ,KG/SO/TRE,4,0,60.000,44.000
Cà phê sữa đá Trung Nguyên legend 225g 9x25g,"Đồ Ăn, Thức Uống",8935024132500,4,0,120.000,89.000
MR.VIET Xoài Sấy Với Sôcôla Sữa & Dừa (MR.VIET Dried Mango Milk Chocolate & Coconut),"Đồ Ăn, Thức Uống",8936135431681,4,0,120.000,89.000
MR.VIET Xoài Sấy Với Matcha & Mắc Ca (MR.VIET Dried Mango Matcha & Macadamia),"Đồ Ăn, Thức Uống",8936135431704,4,0,120.000,89.000
"""Cà phê MR.VIET Real-Strong-Orginal-CàPhê Rang Xay hộp 250g (Real-Strong-Original-Ground 250g)-black""","Đồ Ăn, Thức Uống",8938506647615,4,0,180.000,133.000
Quần áo dài,Quần Áo,CLY/Q,4,0,150.000,111.000
Khay tròn sơn mài hình gà phi 30,Hàng Sơn Mài,SM/KH/TR30,4,0,310.000,230.000
Tranh đĩa tròn Sơn Mài cong phi 25,Hàng Sơn Mài,SM/TR/DTC25,4,0,300.000,222.000
Khay tròn thảm gỗ có quai KT phi 28,"Khay tre, khảm trai, gỗ",KTTGCQ/28,4,0,200.000,148.000
Khay tròn gắn trai KT: phi 30,"Khay tre, khảm trai, gỗ",KTGT/30,4,0,240.000,178.000
Rươu chanh 25% 100ml (Bến Thành Market),Rượu,8934591007211,3,0,125.000,93.000
"Rượu Nàng Mận 25,5% 375ml",Rượu,8938528985634,3,0,300.000,222.000
"Rượu Nàng Mận 25,5% 530ml",Rượu,8938528985597,3,0,400.000,296.000
"Rượu Gái Mèo 25,5% 530ml",Rượu,8938528985610,3,0,400.000,296.000
Rượu mơ Má đào Mộc Châu 19% 530ml,Rượu,5023MC530,3,0,400.000,296.000
Trà Kim Tuyên gói hút chân không 200g,"Đồ Ăn, Thức Uống",8936095570710,3,0,100.000,74.000
Atiso đỏ,"Đồ Ăn, Thức Uống",ATISO,3,0,60.000,44.000
Bình Sơn Mài Mang cá Vầng Trăng nhí 15.5 cm,Hàng Sơn Mài,SM/MCVTRANG/S,3,0,300.000,222.000
Rượu Sông Cái Floral Gin 700ml (45%),Rượu,R/FLORAL/700,3,0,1.500.000,1.111.000
Rượu Sông Cái Dry Gin 700ml (45%),Rượu,8938528319026,3,0,1.350.000,1.000.000
Socola Arabica coffee Lâm Đồng 64% Marou 80g,"Đồ Ăn, Thức Uống",8938505214665,3,0,170.000,126.000
Socola đen Đắc lăk 70% Marou 80g,"Đồ Ăn, Thức Uống",8938505214726,3,0,140.000,104.000
Socola đen Lâm Đồng 74% Marou 80g,"Đồ Ăn, Thức Uống",8938505214634,3,0,140.000,104.000
Socola đen Đồng Nai 72% Marou 80g,"Đồ Ăn, Thức Uống",8938505214238,3,0,140.000,104.000
Socola Mekong Kumquat Tiền Giang 68% Marou 80g,"Đồ Ăn, Thức Uống",8938505214450,3,0,170.000,126.000
Socola Mekong Kumquat Tiền Giang 68% Marou 24g,"Đồ Ăn, Thức Uống",8938505214405,3,0,85.000,63.000
Socola Coconut Milk Bến tre 55% Marou 24g,"Đồ Ăn, Thức Uống",8938505214375,3,0,85.000,63.000
Rượu sim Yên Tử 250ml 24%,Rượu,8936105590103/250,3,0,200.000,148.000
Rượu cô chanh 530ml,Rượu,8938528985603,3,0,370.000,274.000
"Rượu nàng mận 25,5% 100ml",Rượu,8938528985542,3,0,150.000,111.000
Chân kê đĩa gỗ 15cm,Thủ công mỹ nghệ,CKD/15,3,0,40.000,30.000
Bình sơn mài vai vuông,Hàng Sơn Mài,SM/BVAIVUONG,3,0,500.000,370.000
Bình Sơn mài Mang cá Picatso lớn (36cm),Hàng Sơn Mài,SM/MCPICASO/L,3,0,500.000,370.000
Khay chữ nhật gắn trai có quai KT 34X24,"Khay tre, khảm trai, gỗ",KCNGTCQ/34X24,3,0,220.000,163.000
Doremon len,Len,LEN/DOREMON,3,0,220.000,163.000
Móc khóa len vịt đeo chai đội nón,Len,LEN/MKVDCDN,3,0,60.000,44.000
Móc khóa len chó cờ,Len,LEN/MKCC,3,0,60.000,44.000
Bình Mang cá thấp,Hàng Sơn Mài,SM/MCT,3,0,360.000,267.000
Bình Phu Thê dẹt cỡ lớn,Hàng Sơn Mài,SM/VC/DET/L,3,0,400.000,296.000
Đĩa ảo F20 sen xanh lam,Hàng Gốm Sứ,T/D/AO/SEN/20,3,0,150.000,111.000
Đĩa lượn 5 cánh vẽ sen F23,Hàng Gốm Sứ,T/D/5C/SEN/F23,3,0,200.000,148.000
Bát mắm vẽ sen,Hàng Gốm Sứ,T/BM/SEN,3,0,30.000,22.000
Đĩa F20 vẽ sen xanh lam,Hàng Gốm Sứ,T/DIA/SEN/F20,3,0,120.000,89.000
Túi xách đeo vai hoa ô vuông KT: 32x25cm,"Túi xách, Làn, Ví",TXDVHOV/32X25,3,0,100.000,74.000
Khay bầu dục gắn trai có quai Kt 24x37,"Khay tre, khảm trai, gỗ",KBDGTCQ/24X37,3,0,180.000,133.000
trà tâm sen lọ nhỏ,"Đồ Ăn, Thức Uống",TRA/TSEN/N,3,0,200.000,148.000
Trà tôm nõn Thái Nguyên hộp 300g,"Đồ Ăn, Thức Uống",TRA/TN/300G,3,0,600.000,444.000
kẹo Hải Hà chew đậu đỏ gói 90g,"Đồ Ăn, Thức Uống",8934595060496,3,0,10.000,7.000
Nón Bắc Bộ vẽ cờ đỏ sao vàng phi 40,"Nón, Nón treo",NBBV/CDSV/40,3,0,80.000,59.000
Nón cỏ bàng vẽ hoa sen nổi phi 41,"Nón, Nón treo",NCBVHSN/41,3,0,350.000,259.000
Kẹo Hải Hà Chew xốp cốm gói 70g,"Đồ Ăn, Thức Uống",8934595060038,3,0,10.000,7.000
Đĩa F20 HB sen,Hàng Gốm Sứ,HB/D/F20/S,3,0,220.000,163.000
Đĩa F20 Hb,Hàng Gốm Sứ,HB/D/F20,3,0,180.000,133.000
