Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Bộ AC sao xanh 04,Hàng Gốm Sứ,TACHL021,Bộ,1,0,800.000,0
Bộ AC hồng sa ấm k10,Hàng Gốm Sứ,TACHL009,Bộ,1,0,1.000.000,0
Đĩa F18 hỏa biến sen,Hàng Gốm Sứ,HB/D/F18/S,Cái,0,0,180.000,0
Két bia chai Heineken 24 x 330ml,"Đồ Ăn, Thức Uống",KET/KEN,Két,0,0,450.000,0
Thùng nước khoáng Lavie 500ml x 24 chai,"Đồ Ăn, Thức Uống",18935005801026,Thùng,0,0,108.000,0
Thùng Coca vị nguyên bản 320ml x 24 lon,"Đồ Ăn, Thức Uống",18935049502231,Thùng,0,0,195.000,0
Thùng bia Sài Gòn Lager 330ml x 24 lon,"Đồ Ăn, Thức Uống",18935012413328,Thùng,0,0,280.000,0
Thùng bia Hà Nội 330ml x 24 lon,"Đồ Ăn, Thức Uống",8936000440053,Thùng,0,0,285.000,0
Đĩa kê ấm của bộ AC sen cá nổi,Hàng Gốm Sứ,TTS/SC/DKA,Cái,0,0,100.000,0
Ấm của bộ AC sen cá nổi,Hàng Gốm Sứ,TTS/SC/AM,Cái,0,0,1.000.000,0
ĐĨA CHÉN TTS SEN CÁ NỔI,Hàng Gốm Sứ,TTS/SC/DC,Cái,0,0,100.000,0
CHÉN TTS SEN CÁ NỔI,Hàng Gốm Sứ,TTS/SC/C,Cái,0,0,200.000,0
Hộp trà TTS sen cá nổi,Hàng Gốm Sứ,TTS/TRA/CA,Cái,0,0,200.000,0
Rùa len ôm biểu tượng tích cực,Len,LEN/ROBTTC,Con,0,0,60.000,0
Cáo len chân ngắn đeo cờ Việt Nam,Len,LEN/CCNDCVN,Con,0,0,200.000,0
Cà phê Cộng nâu kem muối hòa tan 12 Stick,"Đồ Ăn, Thức Uống",8935366803458,Hộp,0,0,85.000,0
Cà phê Cộng cốt dừa hòa tan 12 Stick,"Đồ Ăn, Thức Uống",8938531133572,Hộp,0,0,85.000,0
Thỏ len yếm size to,Len,LEN/TY/T,Con,0,0,300.000,0
Trà cung đình gói màu xanh G9,"Đồ Ăn, Thức Uống",8938506776032,Gói,0,0,90.000,0
Xoài phủ Socola đen Marou 100g,"Đồ Ăn, Thức Uống",8938551295304,Hộp,0,0,165.000,0
Socola Milk Chocolate 48% Cacao Marou 80g,"Đồ Ăn, Thức Uống",8938505214467,Thanh,0,0,140.000,0
Socola đen Bến Tre 78% Marou 80g,"Đồ Ăn, Thức Uống",8938505214351,Thanh,0,0,140.000,0
Socola gift set 6x24gr Marou,"Đồ Ăn, Thức Uống",8938505214337,Set,0,0,485.000,0
Socola Arabica Coffee Lâm Đồng 64% Marou 24g,"Đồ Ăn, Thức Uống",8938505214672,Thanh,0,0,85.000,0
Socola Milk Chocolate 48% Cacao 24g,"Đồ Ăn, Thức Uống",8938505214474,Thanh,0,0,70.000,0
Tranh đĩa tròn sơn mài phi 30,Hàng Sơn Mài,SM/TR/DTR/30,Cái,0,0,300.000,0
Bình Sơn Mài sẻ nhí,Hàng Sơn Mài,SM/BSE/S,Cái,0,0,300.000,0
Bột Cacao nguyên chất 16-18% Heyday,"Đồ Ăn, Thức Uống",8938512644011,Hộp,0,0,130.000,0
Hộp Cacao sữa dừa Heyday,"Đồ Ăn, Thức Uống",8938512644448,Hộp,0,0,115.000,0
Bình Sơn mài Mang cá Picatso trung (28 cm),Hàng Sơn Mài,SM/MCPICATSO/M,Cái,0,0,450.000,0
Bình sơn mài bánh tiêu cỡ trung,Hàng Sơn Mài,SM/BBTIEU/M,Cái,0,0,600.000,0
Làn nhựa kt 31x31,"Túi xách, Làn, Ví",LN/31x31,Cái,0,0,250.000,0
Làn nhựa có khóa đính quả bông,"Túi xách, Làn, Ví",LN/K/QB,Cái,0,0,270.000,0
Khay mây thảm trai Seal hình chữ nhật KT 37x24,"Khay tre, khảm trai, gỗ",KM/HCN/S37X24,Cái,0,0,220.000,0
Minion len chân ngắn,Len,LEN/MINIONCN,Con,0,0,100.000,0
Lợn len chân ngắn đeo cờ Việt Nam,Len,LEN/LCNDCVN,Con,0,0,200.000,0
Mèo len chân ngắn đeo cờ Vệt Nam,Len,LEN/MCNDCVN,Con,0,0,200.000,0
Thỏ len chân ngắn,Len,LEN/TCN,Con,0,0,200.000,0
Hổ len chân ngắn,Len,LEN/HCN,Con,0,0,200.000,0
Gấu len cờ Việt Nam,Len,LEN/GCVN,Con,0,0,200.000,0
Thỏ len cờ Việt Nam,Len,LEN/TCVN,Con,0,0,200.000,0
Người nhện len,Len,LEN/NN,Con,0,0,220.000,0
Minion len,Len,LEN/MINION,Con,0,0,220.000,0
Búp bê len hoa mai,Len,LEN/BBHM,Con,0,0,300.000,0
Gấu len đeo hũ mật,Len,LEN/GDHM,Con,0,0,200.000,0
Thỏ ngực khoang len đeo cà rốt,Len,LEN/TNKDCR,Con,0,0,220.000,0
Búp bê len dứa,Len,LEN/BBD,Con,0,0,400.000,0
Thỏ len tai dài,Len,LEN/TTD,Con,0,0,400.000,0
Búp bê len tóc tết,Len,LEN/BBTT,Con,0,0,400.000,0
Mèo len,Len,LEN/M,Con,0,0,220.000,0
Helo Kity len ngồi,Len,LEN/HKN,Con,0,0,200.000,0
Búp bê len tóc xoăn,Len,LEN/BBTX,Con,0,0,400.000,0
Móc khóa len vịt cầm cờ Việt Nam,Len,LEN/MKVCCVN,Cái,0,0,50.000,0
Xoài Sơn Mài cỡ S (Cao 22 cm),Hàng Sơn Mài,SM/XOAI/S,Cái,0,0,320.000,0
Bát tô F20 vẽ sen,Hàng Gốm Sứ,T/BTO/SEN/F20,Cái,0,0,180.000,0
Đĩa mặt trời S2 vẽ hoa CL loại 2,Hàng Gốm Sứ,ADMT01L2,Cái,0,0,150.000,0
Bát mắm vẽ hoa CL,Hàng Gốm Sứ,ABMAM02,Cái,0,0,40.000,0
áo cô màu tím size M,Quần Áo,AC/T/M,Cái,0,0,2.500.000,0
GBA Trà hoa nhài,"Đồ Ăn, Thức Uống",8935305200355,Hộp,0,0,200.000,0
MUÔI,Hàng Gốm Sứ,THDMUOI,Cái,0,0,100.000,0
ÂU CƠM MEN KEM,Hàng Gốm Sứ,T/AU/MK,Cái,0,0,280.000,0
BÁT TÔ F18 MEN KEM,Hàng Gốm Sứ,T/BT18/MK,Cái,0,0,130.000,0
BẦU DỤC MÚI S1 MEN KEM,Hàng Gốm Sứ,T/BD30/MK,Cái,0,0,200.000,0
ĐĨA SAO MEN KEM S1 CL,Hàng Gốm Sứ,T/D/SAO1/MK,Cái,0,0,190.000,0
ĐĨA VUÔNG F20 MEN KEM,Hàng Gốm Sứ,T/D/V/20/MK,Cái,0,0,190.000,0
ĐĨA ẢO F20 MEN KEM,Hàng Gốm Sứ,T/D/AO/20/MK,Cái,0,0,160.000,0
ĐĨA F18 MEN KEM,Hàng Gốm Sứ,T/D18/MK,Cái,0,0,95.000,0
ĐĨA F16 MEN KEM,Hàng Gốm Sứ,T/D16/MK,Cái,0,0,75.000,0
BÁT MẮM MEN KEM,Hàng Gốm Sứ,T/BM/MK,Cái,0,0,30.000,0
cốc CF nắp màu - Finlom xanh,Hàng Gốm Sứ,CFTM02/XN,Cái,0,0,120.000,0
Cốc CF nắp màu - Finlom đỏ,Hàng Gốm Sứ,CFTM02/D,Cái,0,0,120.000,0
Gà S2,Hàng Gốm Sứ,GA/3C/S2,Con,0,0,60.000,0
Gà S1,Hàng Gốm Sứ,GA/3C/S1,Con,0,0,120.000,0
Bình đường hỏa biến sen,Hàng Gốm Sứ,HB/CAM8/SEN,Cái,0,0,140.000,0
Bộ trang phục nữ Tây Nguyên,Quần Áo,BTP/NU/TN,Bộ,0,0,1.000.000,0
Cốc vuốt ngọc trai,Hàng Gốm Sứ,C/V/NT,Cái,0,0,80.000,0
Đồ cắt Xì gà COHIBA,"Xì Gà, Thuốc Lá",DCXG,Cái,0,0,500.000,0
Đĩa Hà Nội F16,Hàng Gốm Sứ,ADF16,Cái,0,0,200.000,0
Đĩa F22 hỏa biến,Hàng Gốm Sứ,HB/D/F22,Cái,0,0,200.000,0
Bát tô F13-F14 HB CL,Hàng Gốm Sứ,HB/BT/F13-14,Cái,0,0,140.000,0
Bát tô F18 HB CL,Hàng Gốm Sứ,HB/BT/F18,Cái,0,0,300.000,0
Bát cơm trâu sen,Hàng Gốm Sứ,TS/BAT,Cái,0,0,40.000,0
Khay muối đôi HB sen,Hàng Gốm Sứ,HB/2GVI/SEN,Cái,0,0,65.000,0
Trà ướp bông sen gói 2 bông,"Đồ Ăn, Thức Uống",TUBS/2,Gói,0,0,100.000,0
Gạt tàn trâu sen,Hàng Gốm Sứ,TS/GT,Cái,0,0,100.000,0
Lọ tăm trâu sen,Hàng Gốm Sứ,TS/TAM,Cái,0,0,100.000,0
AC DL bộ vuông số 2,Hàng Gốm Sứ,TACDL003,Bộ,0,0,450.000,0
Khay vuông gắn trai KT: 17cm,"Khay tre, khảm trai, gỗ",KVGT/17,Cái,0,0,170.000,0
Đĩa men rạn F26,Hàng Gốm Sứ,MR/D/F26,Cái,0,0,280.000,0
Bát gáo dừa cô gái xanh dương,Hàng Sơn Mài,SM/BGD/GAI/XD,Cái,0,0,50.000,0
Túi cỏ bàng trơn,"Túi xách, Làn, Ví",TCBT,Cái,0,0,250.000,0
Khay chữ nhật gắn trai có tay cầm KT 30x20,"Khay tre, khảm trai, gỗ",KCNGTCTC/30X20,Cái,0,0,200.000,0
Cà phê Trung Tín hộp hạt Robusta 500gr,"Đồ Ăn, Thức Uống",8936021580127,Hộp,0,0,300.000,0
Cà phê Trung Tín hạt Culi 500gr,"Đồ Ăn, Thức Uống",8936021580110,Hộp,0,0,300.000,0
Cà phê mix A+C+R đã xay gói 200g,"Đồ Ăn, Thức Uống",CP/ACR/DX/200G,Gói,0,0,140.000,0
Khay tròn gắn trai xếp xoắn KT: F26 cm,"Khay tre, khảm trai, gỗ",KTGTXX/26,Cái,0,0,240.000,0
Đĩa mây khảm trai miệng xoắn KT: F21,"Khay tre, khảm trai, gỗ",DMKTMX/21,Cái,0,0,120.000,0
Khay vuông gắn trai KT: 21cm,"Khay tre, khảm trai, gỗ",KVGT/21,Cái,0,0,170.000,0
Khay chữ nhật gắn trai có tay cầm KT:30x35,"Khay tre, khảm trai, gỗ",KCNGTCTC/30X35,Cái,0,0,220.000,0
Cà phê mix A+C+R Trung Tín gói 500g,"Đồ Ăn, Thức Uống",CP/ACR/T/500G,Gói,0,0,320.000,0
Cà phê Arabica Trung Tín gói 500g,"Đồ Ăn, Thức Uống",CP/A/T/500G,Gói,0,0,320.000,0
Cà phê Robusta Trung Tín gói 500g,"Đồ Ăn, Thức Uống",CP/R/T/500G,Gói,0,0,300.000,0
Khăn xếp nam xanh dương,Quần Áo,KX/XD,Chiếc,0,0,160.000,0
Khay bầu dục gắn trai KT: 17x27,"Khay tre, khảm trai, gỗ",KBDGT/17X27,Cái,0,0,160.000,0
CAPHE CULI GÓI 200G,"Đồ Ăn, Thức Uống",CP/C/200G,Gói,0,0,140.000,0
Cà phê Moka Trung Tín gói 500g,"Đồ Ăn, Thức Uống",CP/M/T/500G,Gói,0,0,350.000,0
Cà phê Robusta mix Arabica Trung Tín gói 500g,"Đồ Ăn, Thức Uống",CP/R/A/T/500G,Gói,0,0,320.000,0
Mít Sấy gói 250 G,"Đồ Ăn, Thức Uống",MS/250G,Gói,0,0,100.000,0
CỐC TRỤ MEN XANH HOA ĐÀO,Hàng Gốm Sứ,LBN01/C,Cái,0,0,40.000,0
Lá tim tam thái,Hàng Gốm Sứ,TDIATL10,Cái,0,0,80.000,0
Đĩa chấm tam thái các dáng,Hàng Gốm Sứ,TDIATL034,Cái,0,0,50.000,0
"ẤM TÍCH 0,75L MEN ĐÁ",Hàng Gốm Sứ,AM/0.75L/MD,Cái,0,0,500.000,0
Đôi đũa thốt nốt,Đũa,DUA/TN/DOI,Đôi,0,0,20.000,0
Đĩa tròn F12 tam thái,Hàng Gốm Sứ,TDIATL02,Cái,0,0,40.000,0
Đĩa sò tam thái,Hàng Gốm Sứ,TDIATL01,Cái,0,0,50.000,0
Đĩa lá cl,Hàng Gốm Sứ,TDIATL30,Cái,0,0,150.000,0
Bình Sake tam thái,Hàng Gốm Sứ,T/SK/3T,Cái,0,0,200.000,0
Gác thìa cl,Hàng Gốm Sứ,T/GTH/CL,Cái,0,0,40.000,0
Cốc vẽ cl,Hàng Gốm Sứ,T/COC/CL,Cái,0,0,60.000,0
Bộ áo dài nam xanh,Quần Áo,BAD/NAM/X,Bộ,0,0,2.500.000,0
Giá đũa thờ gỗ,Đũa,G/GDT,Cái,0,0,100.000,0
Bình rượu Sake HB sen,Hàng Gốm Sứ,SAKE/BR/HB/SEN,Cái,0,0,200.000,0
Bi đông sen HB,Hàng Gốm Sứ,HB/BD/SEN,Cái,0,0,150.000,0
Bi đông tròn sen HB,Hàng Gốm Sứ,HB/BD/TR/SEN,Cái,0,0,200.000,0
Lọ vuốt sen HB,Hàng Gốm Sứ,HB/L/V/SEN,Cái,0,0,180.000,0
Kỷ tử đỏ gói 400g,"Đồ Ăn, Thức Uống",KTD/400G,Gói,0,0,120.000,0
Túi đeo vai thổ cẩm,"Túi xách, Làn, Ví",TUI/THOCAM,Cái,0,0,180.000,0
Cà phê Robusta 500g,"Đồ Ăn, Thức Uống",CP/R/500G,Gói,0,0,300.000,0
Đèn khung sắt hình tỏi 5 màu KT: 14x22,Đèn lồng,DKS/TOI/5M,Cái,0,0,100.000,0
Đèn khung sắt hình tròn KT phi: 16x16,Đèn lồng,DKS/TRON,Cái,0,0,100.000,0
Đèn khung sắt hình trụ màu đỏ,Đèn lồng,DKS/TRU/DO,Cái,0,0,100.000,0
Đèn khung sắt hình tỏi phi 14x22,Đèn lồng,DKS/TOI,Cái,0,0,100.000,0
Đèn khung sắt hình trụ 4 màu phi: 13x22,Đèn lồng,DKS/TRU/4M,Cái,0,0,100.000,0
Bộ ấm chén quai đồng men kem,Hàng Gốm Sứ,TACHD002,Bộ,0,0,500.000,0
Làn cói to dây trang trí KT 38x 30x 12,"Túi xách, Làn, Ví",MY/ LAN/01,Chiếc,0,0,170.000,0
Làn tre KT: 14x16x18,"Túi xách, Làn, Ví",MTT/LA/TRE,Chiếc,0,0,350.000,0
Lọ mini các loại,Hàng Gốm Sứ,TMQLH01,Cái,0,0,50.000,0
Tích lộc s2 phù dung v.v,Hàng Gốm Sứ,BTLV2826002,Cái,0,0,35.000.000,0
Kệ bày quạt ( nhựa trắng),Thủ công mỹ nghệ,TKC/KBQ,Cái,0,0,70.000,0
Phin cà phê Kim Hằng màu đen F7,Phin CF,PCP/KH/DEN/7,Hộp,0,0,120.000,0
Bộ AC men gấm các loại,Hàng Gốm Sứ,T/AC/GAM/CL,Bộ,0,0,1.200.000,0
Nụ vối,"Đồ Ăn, Thức Uống",NVOI,Hộp,0,0,50.000,0
Đường phèn,"Đồ Ăn, Thức Uống",D/PHEN,Hộp,0,0,40.000,0
"Trà tôm nõn Thái Nguyên loại 20 ấm vỏ đỏ, vàng","Đồ Ăn, Thức Uống",TRA/TN/20A/DV,Hộp,0,0,750.000,0
Trà đinh đặc biệt Thái Nguyên loại 10 ấm vỏ xanh nõn chuối,"Đồ Ăn, Thức Uống",TRA/DB/10A/XNC,Gói,0,0,400.000,0
Hạt điều bóc vỏ gói 500g,"Đồ Ăn, Thức Uống",H/DIEU/BV/G/500G,Gói,0,0,170.000,0
Hạt điều bóc vỏ lọ 500g,"Đồ Ăn, Thức Uống",HDBV/500G,Lọ,0,0,180.000,0
Hộp cà phê Đà Lạt Star Kitchen,"Đồ Ăn, Thức Uống",8938532872548,Hộp,0,0,150.000,0
Hạt hạnh nhân rang bơ,"Đồ Ăn, Thức Uống",HHNHAN/RB,Lọ,0,0,60.000,0
Hạt hạnh nhân,"Đồ Ăn, Thức Uống",HHNHAN,Lọ,0,0,60.000,0
Cốc CF loe,Hàng Gốm Sứ,CF/CL/5M,Cái,0,0,60.000,0
Cốc vuốt chấm có quai,Hàng Gốm Sứ,HB/C/VC/Q,Cái,0,0,90.000,0
Cốc vuốt chấm,Hàng Gốm Sứ,HB/C/VC/5M,Chiếc,0,0,80.000,0
Cốc béo sen HB CL,Hàng Gốm Sứ,HB/C/TO/SEN,Cái,0,0,80.000,0
Bộ nón lá 5 cái loại to,"Nón, Nón treo",NL/ 5,Cái,0,0,150.000,0
Bộ nón lá 5 cái loại nhỏ,"Nón, Nón treo",NL/5/S,Cái,0,0,60.000,0
Hộp giấy ăn vuông SM gắn trai kiểu chỉ,Hàng Sơn Mài,SM/TRAI/HGAV/C,Hộp,0,0,200.000,0
Bút chì 3 Silicon,Thủ công mỹ nghệ,BC3S,Chiếc,0,0,100.000,0
Sổ gỗ 3D,Thủ công mỹ nghệ,SG/3D,Cái,0,0,100.000,0
Sổ mành,Thủ công mỹ nghệ,SO/M,Cái,0,0,60.000,0
Túi cói đeo vai kẻ ngang đính quả gỗ KT: 36x40,"Túi xách, Làn, Ví",TCDVKNDQG,Cái,0,0,250.000,0
Túi cói đeo vai kẻ ngang KT: 21x32,"Túi xách, Làn, Ví",TCDVKN,Cái,0,0,180.000,0
Túi cói đeo vai KT: 21x 31,"Túi xách, Làn, Ví",PVN438,Cái,0,0,200.000,0
Túi cói phong bì tua rua,"Túi xách, Làn, Ví",TCPBTR,Cái,0,0,150.000,0
Túi cói quai da KT: 40x44,"Túi xách, Làn, Ví",PVN440,Cái,0,0,260.000,0
Túi cói tròn phi 43,"Túi xách, Làn, Ví",TCT/43,Cái,0,0,280.000,0
Túi cói tròn phi 43,"Túi xách, Làn, Ví",PVN441,Cái,0,0,280.000,0
Túi xách ô van xếp xoắn mây KT: 22x10x17,"Túi xách, Làn, Ví",TXOVXXM,Cái,0,0,550.000,0
Túi xách vải dù lượn sóng KT: 20x31,"Túi xách, Làn, Ví",TXVDLS,Cái,0,0,180.000,0
Cà phê C + Bạc Xỉu,"Đồ Ăn, Thức Uống",CPC/CF/BX,Hộp,0,0,70.000,0
Cà phê phin giấy Xã Hội,"Đồ Ăn, Thức Uống",CPC/CF/XH/F,Hộp,0,0,130.000,0
Cà phê Túi lọc Xã Hội,"Đồ Ăn, Thức Uống",CPC/CF/XH/L,Hộp,0,0,90.000,0
Cà phê phin giấy Chủ Nghĩa,"Đồ Ăn, Thức Uống",CPC/CF/CN/F,Hộp,0,0,130.000,0
Cà phê túi lọc Chủ Nghĩa,"Đồ Ăn, Thức Uống",CPC/CF/CN/L,Hộp,0,0,90.000,0
Cà phê phin giấy Độc Lập,"Đồ Ăn, Thức Uống",CPC/CF/DL/P,Hộp,0,0,130.000,0
Cà phê phin giấy phở Việt Nam,"Đồ Ăn, Thức Uống",CPC/CF/PVN/F,Hộp,0,0,140.000,0
Khay tre cỡ to,"Khay tre, khảm trai, gỗ",KTM02,Cái,0,0,100.000,0
Khay tre cỡ nhỏ,"Khay tre, khảm trai, gỗ",KTM01,Cái,0,0,80.000,0
KHAY TRE CỠ NHỠ,"Khay tre, khảm trai, gỗ",KTM04,Cái,0,0,90.000,0
Bánh nón lá Star Kitchen (Black Pepper),"Đồ Ăn, Thức Uống",8938532872036,Hộp,0,0,150.000,0
Bánh nón lá Star Kitchen (Cashew nut),"Đồ Ăn, Thức Uống",8938532872135,Hộp,0,0,150.000,0
Bánh nón lá Star Kitchen (Coconut Coffee),"Đồ Ăn, Thức Uống",8938532872012,Hộp,0,0,150.000,0
Bánh mì Rusk (hộp 6 cái),"Đồ Ăn, Thức Uống",8938532872524,Hộp,0,0,100.000,0
Bánh mì Rusk (hộp 18 cái),"Đồ Ăn, Thức Uống",8938532872531,Hộp,0,0,250.000,0
Bánh quy Chuối Sài gòn Star Kitchen,"Đồ Ăn, Thức Uống",8938532872579,Hộp,0,0,220.000,0
Chả giò tôm Star Kichen,"Đồ Ăn, Thức Uống",8938532872807,Hộp,0,0,150.000,0
Bộ AC tròn men kem vẽ CL,Hàng Gốm Sứ,TACHD004,Cái,0,0,600.000,0
Cà phê hòa tan G7 288g/ hộp vuông x18 gói,"Đồ Ăn, Thức Uống",8935024122310,Hộp,0,0,60.000,0
MR.VIET Xoài Sấy Với Sôcôla Đen & Cà Phê (MR.VIET Dried Mango Dark Chocolate & Coffee),"Đồ Ăn, Thức Uống",8936135431698,Gói,0,0,120.000,0
MR.VIET Milk Chocolate Almonds and Raisins 80g (MR.VIET Sô cô la Sữa Hạnh nhân và Nho khô 80g),"Đồ Ăn, Thức Uống",8936135433432,Gói,0,0,130.000,0
MR.VIET Dark Chocolate & Macadamia 80g (MR.VIET Sô cô la Đen & Mắc ca 80g),"Đồ Ăn, Thức Uống",8936135433449,Gói,0,0,130.000,0
MR.VIET Cà Phê Hoà Tan Nhân Sâm (MR.VIET Ginseng Instant Coffee),"Đồ Ăn, Thức Uống",8936135431803,Gói,0,0,130.000,0
Lọ chum sơn mài 22 cm,Hàng Sơn Mài,SM/CHUM/22,Cái,0,0,280.000,0
Lọ hoa gỗ sơn mài 18 cm,Hàng Sơn Mài,SM/G/LHOA/18,Cái,0,0,300.000,0
Đĩa vuông sơn mài cô gái xanh cốm size L,Hàng Sơn Mài,SM/DV/XC/G/L,Cái,0,0,120.000,0
Đĩa vuông sơn mài cô gái xanh dương size L,Hàng Sơn Mài,SM/DV/XD/G/L,Cái,0,0,120.000,0
Đĩa vuông sơn mài cô gái xanh dương size S,Hàng Sơn Mài,SM/DV/XD/G/S,Cái,0,0,100.000,0
Tranh sơn mài đám cưới chuột,Hàng Sơn Mài,SM/TR/DHO,Cái,0,0,500.000,0
Lọ gốm mai,Hàng Gốm Sứ,TLHGM01,Cái,0,0,500.000,0
Lọ hoa 3D các loại,Hàng Gốm Sứ,TTALH12,Cái,0,0,1.000.000,0
Lọ hoa các loại 015,Hàng Gốm Sứ,TLHDG015,Cái,0,0,350.000,0
LỌ HOA MEN HB CÁC LOẠI,Hàng Gốm Sứ,T/LH/HB/CL,Cái,0,0,500.000,0
LỌ GIỌT MƯA S1,Hàng Gốm Sứ,T/TT/LH001/S1/N,Cái,0,0,500.000,0
Gạt tàn TTS,Hàng Gốm Sứ,TTS/GT,Cái,0,0,200.000,0
Lọ tăm TTS,Hàng Gốm Sứ,TTS/TAM,Cái,0,0,150.000,0
Nón bọc vải lụa 2 mặt phi 43,"Nón, Nón treo",NBVL/2/43,Cái,0,0,400.000,0
Tranh sơn mài vuông cong 30x30,Hàng Sơn Mài,SM/TR/VC30,Cái,0,0,350.000,0
Đĩa vuông sơn mài hình lá size M,Hàng Sơn Mài,SM/D/V/LA/M,Cái,0,0,110.000,0
Đĩa vuông sơn mài hình lá size L,Hàng Sơn Mài,SM/D/V/LA/L,Cái,0,0,120.000,0
Đĩa vuông sơn mài hình cô gái size S,Hàng Sơn Mài,SM/D/V/G/S,Cái,0,0,100.000,0
Đĩa vuông sơn mài hình cô gái size L,Hàng Sơn Mài,SM/D/V/G/L,Cái,0,0,120.000,0
Khay chữ nhật gắn trai KT: 26x35,"Khay tre, khảm trai, gỗ",KCNGT/26X35,Cái,0,0,220.000,0
Khay bầu dục gắn trai KT 21x30,"Khay tre, khảm trai, gỗ",KBDGT/21x30,Cái,0,0,250.000,0
Khay bầu dục gắn trai KT 23x35,"Khay tre, khảm trai, gỗ",KBDGT/23x35,Cái,0,0,180.000,0
Bộ AC HL trăng vàng to,Hàng Gốm Sứ,TACHL029,Bộ,0,0,800.000,0
Bộ AC nâu ganh quai việt,Hàng Gốm Sứ,TACHL017,Bộ,0,0,800.000,0
Khay bầu dục gắn trai có quai KT: 24 x 37,"Khay tre, khảm trai, gỗ",KBDCQ/24X37,Cái,-1,0,180.000,0
Khay chữ nhật gắn trai có tay cầm KT:25X35,"Khay tre, khảm trai, gỗ",KCNGTCTC/25X35,Cái,-1,0,200.000,0
Nón Huế trơn trẻ em phi 34,"Nón, Nón treo",NHTTE/34,Cái,-1,0,60.000,0
Đĩa vuông sơn mài cô gái xanh dương size M,Hàng Sơn Mài,SM/DV/XD/G/M,Cái,-1,0,110.000,0
Nón cỏ bàng vẽ nổi phi 41,"Nón, Nón treo",NCBVN/41,Cái,-1,0,350.000,0
CHÂN KÊ ĐĨA GỖ 23-24 CM,Thủ công mỹ nghệ,CKD/23-24,Cái,-1,0,70.000,0
Bộ ac Hl nâu hoa chìm,Hàng Gốm Sứ,TACHL027,Bộ,-1,0,800.000,0
Đĩa F22 trâu sen,Hàng Gốm Sứ,TS/D/F22,Cái,-2,0,200.000,0
