Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Cốc lipton có nắp,Hàng Gốm Sứ,CTM02,Cái,20,0,80.000,0
Cốc HB có quai chấm,Hàng Gốm Sứ,HB/C/Q/C,Cái,20,0,90.000,0
Thước len rùa 2,Len,LEN/TR2,Cái,19,0,50.000,0
Cốc bộ độc ẩm HB,Hàng Gốm Sứ,HB/C/1M,Cái,19,0,100.000,0
MR.VIET Cà Phê Hương Chồn - Cà Phê Rang Xay Túi 250g (MR.VIET Chon - Ground Coffee 250g Bag),"Đồ Ăn, Thức Uống",8938506647912,Gói,19,0,200.000,0
"""MR.VIET Cà Phê Đà Lạt - Cà Phê Rang Xay Túi 250g (MR.VIET Dalat - Ground Coffee 250g Bag)""","Đồ Ăn, Thức Uống",8938506647561,Gói,19,0,160.000,0
Nón Huế vẽ phong cảnh phi 40,"Nón, Nón treo",NHVPC/40,Cái,19,0,100.000,0
Hộp phấn sơn mài phi 10,Hàng Sơn Mài,SM/PHAN/10,Cái,19,0,150.000,0
Xoài sấy dẻo muối ớt gói 500g,"Đồ Ăn, Thức Uống",XSD/MO/500G,Gói,18,0,120.000,0
Túi CN thêu 15x24x4,"Túi xách, Làn, Ví",CLY/TT15244,Cái,18,0,100.000,0
Túi xách đeo vai cô gái Việt Nam nhỏ KT: 34x26cm,"Túi xách, Làn, Ví",TXDVCGVN/34X26,Cái,18,0,100.000,0
Kẹo Hải Hà cứng Bạc Hà gói 70g,"Đồ Ăn, Thức Uống",8934595021190,Gói,18,0,10.000,0
Trà ướp bông sen hộp 2 bông,"Đồ Ăn, Thức Uống",TUBS/H/2,Hộp,18,0,120.000,0
XOÀI SẤY DẺO GÓI 500G,"Đồ Ăn, Thức Uống",XSD/500G,Gói,18,0,120.000,0
Ấm bộ độc ẩm HB,Hàng Gốm Sứ,HB/AM/1M,Cái,18,0,250.000,0
Phin cà phê F6 đã in logo Thống Nhất,Phin CF,PCP/6/I/TN,Cái,18,0,65.000,0
Đèn lồng tròn 40cm,Đèn lồng,DL/TRON/40,Cái,18,0,150.000,0
Trà Ô long Phú Sỹ vàng 100g,"Đồ Ăn, Thức Uống",8938505114583,Gói,18,0,70.000,0
MR.VIET Good Morning Vietnam - Cà Phê Rang Xay Túi 250g (GM Vietnam - Ground Coffee 250g Bag),"Đồ Ăn, Thức Uống",8938506647882,Gói,18,0,180.000,0
Móc khóa len cô gái áo dài đeo nón,Len,LEN/MKCGADDN,Cái,17,0,100.000,0
"Móc khóa len vịt ếch, vịt dâu",Len,LEN/MKVEVD,Cái,17,0,80.000,0
